model,strategy,auc_pr,auc_roc,threshold,precision,recall,f1,alerts,alerts_per_10k,fraud_dollars_caught,fraud_dollars_missed,expected_cost
lightgbm,none,0.7923583135862363,0.9865243963178465,0.009677567277712181,0.3935483870967742,0.8133333333333334,0.5304347826086956,155,27.211123204943647,5338.530000000001,2390.73,3165.73
logreg,class_weight,0.7618592792481869,0.9831674489192024,0.9499129081824812,0.29357798165137616,0.8533333333333334,0.4368600682593856,218,38.27112812050139,5361.98,2367.28,3457.28
logreg,none,0.7192828400155411,0.9626986833547206,0.017218969132194843,0.28378378378378377,0.84,0.42424242424242425,222,38.97335065482251,5363.919999999999,2365.34,3475.34
lightgbm,class_weight,0.7561455930541675,0.9378602023895326,0.8124121479753026,0.38926174496644295,0.7733333333333333,0.5178571428571429,149,26.15778940346196,4846.35,2882.9100000000003,3627.9100000000003
lightgbm,smote,0.7980092899857728,0.9841793965815271,0.07213323348389909,0.2222222222222222,0.8266666666666667,0.3502824858757062,279,48.98002176889857,5355.92,2373.3399999999997,3768.3399999999997
logreg,smote,0.7911406834744066,0.9732437991105173,0.10653476826550383,0.1813031161473088,0.8533333333333334,0.2990654205607477,353,61.971138653839404,5367.0599999999995,2362.2000000000003,4127.200000000001
